id,name,link,regular_price,promo_price,brand
406458,"Конфеты Красный Октябрь Аленка шоколадные, 250г",https://online.metro-cc.ru/products/art-406458,389,199,АЛЕНКА
236339,"Конфеты Snickers minis, 240г",https://online.metro-cc.ru/products/konfety-snickers-minis-240g,274,195,SNICKERS
433261,"Конфеты Акконд Птица Дивная, 300г",https://online.metro-cc.ru/products/akkond-ptica-divnaya-300g-433261,259,,АККОНД
469065,"Печенье Orion Choco Boy с обогащающей добавкой, 45г",https://online.metro-cc.ru/products/choco-boy-s-obogaschayuschej-dobavkoj-45g,45.49,42.90,ORION
521832,"Конфеты Вдохновение мини десерты шоколадные, 165г",https://online.metro-cc.ru/products/vdohnovenie-shokoladnye-mini-deserty-165g,509,278,ВДОХНОВЕНИЕ
236341,"Конфеты Bounty minis, 247г",https://online.metro-cc.ru/products/konfety-bounty-minis-247g,274,199,BOUNTY
407347,"Конфеты Красный Октябрь Красная шапочка, 250г",https://online.metro-cc.ru/products/art-407347,369,209,КРАСНЫЙ ОКТЯБРЬ
597652,"Конфеты Бабаевский Визит шоколадные, 400г",https://online.metro-cc.ru/products/babaevskij-shokoladnye-vizit-400-g,549,459,БАБАЕВСКИЙ
271540,"Карамель Рот Фронт Лимончики, 250г",https://online.metro-cc.ru/products/art-271540,104,,РОТ ФРОНТ
643151,"Конфеты Победа вкуса Мишки в лесу шоколадные, 200г",https://online.metro-cc.ru/products/shokoladnye-pobeda-vkusa-mishki-v-lesu-s-nezhnoj-nachinkoj-vafelnoj-kroshkoj-200g,169,,ПОБЕДА ВКУСА
494640,"Шоколад Kinder Country Chocolate со злаками с молочно-злаковой начинкой молочный, 24г",https://online.metro-cc.ru/products/molochnyj-kinder-reg-chocolate-so-zlakami-s-molochno-zlakovoj-nachinkoj-235g,58.90,,KINDER COUNTRY
640342,"Конфеты Красный Октябрь Москва, 200г",https://online.metro-cc.ru/products/moskva-v-korobke-200-g,329,259,КРАСНЫЙ ОКТЯБРЬ
213135,"Кекс Kuchenmeister Пасхальный кролик, 350г",https://online.metro-cc.ru/products/350g-pashalnyy-krolik-kuchenmeister-molochnyy-shokolad,959,,KUCHENMEISTER
92484,"Конфеты Raffaello с цельным миндальным орехом в кокосовой обсыпке, 240г",https://online.metro-cc.ru/products/raffaello-s-celnym-mindalnym-orehom-v-kokosovoj-obsypke-240g-92484,649,,RAFFAELLO
121011,"Конфеты Красный Октябрь Барбарисовый вкус желейные, 250г",https://online.metro-cc.ru/products/250g-krasnyj-oktyabr-zhelejn-barbaris,162,109,КРАСНЫЙ ОКТЯБРЬ
437949,"Конфеты Красный Октябрь Сливочная помадка с цукатами, 250г",https://online.metro-cc.ru/products/pomadka-krasnyj-oktyabr-slivochnaya-s-cukatami-250g,234,175,КРАСНЫЙ ОКТЯБРЬ
